Категория;Подкатегория;Артикул;Наименование;Размеры;Цена;Коэф
Брюки;Классические;АРТ-01;Брюки классические прямые;44,46,48,50,52;4000;1.1
Брюки;Зауженные;АРТ-02;Брюки зауженные;44,46,48;3800;1.1
Брюки;Спортивные;АРТ-03;Брюки спортивные;42,44,46,48,50;3500;1.0
Брюки;Широкие;АРТ-04;Брюки широкие палаццо;42,44,46,48;4200;1.2
Кители;Классические;АРТ-05;Китель классический;44,46,48,50;4500;1.3
Кители;Приталенные;АРТ-06;Китель приталенный;44,46,48,50;4800;1.4
Кители;Укороченные;АРТ-07;Китель укороченный;42,44,46,48;4200;1.25
Костюмы;Двойка;АРТ-08;Костюм двойка классический;44,46,48,50;8000;1.4
Костюмы;Двойка;АРТ-09;Костюм двойка с жилетом;44,46,48,50;8500;1.5
Костюмы;Тройка;АРТ-10;Костюм тройка классический;44,46,48,50;12000;1.6
Платья;Летние;АРТ-11;Платье летнее А-силуэт;42,44,46,48;3000;1.2
Платья;Летние;АРТ-12;Платье летнее приталенное;44,46,48,50;3500;1.3
Платья;Вечерние;АРТ-13;Платье вечернее с корсетом;42,44,46;5000;1.5
Платья;Вечерние;АРТ-14;Платье вечернее с открытой спиной;44,46,48;5500;1.6
Платья;Офисные;АРТ-15;Платье офисное классическое;44,46,48,50;3800;1.2
Платья;Офисные;АРТ-16;Платье офисное с рукавом;44,46,48,50,52;4000;1.3
Юбки;Прямые;АРТ-17;Юбка прямая классическая;44,46,48,50;2500;1.0
Юбки;Прямые;АРТ-18;Юбка прямая с разрезом;44,46,48,50;2800;1.1
Юбки;Пышные;АРТ-19;Юбка пышная с подъюбником;42,44,46,48;3200;1.2
Юбки;Пышные;АРТ-20;Юбка пышная с воланом;42,44,46,48,50;3400;1.3
Юбки;Карандаш;АРТ-21;Юбка-карандаш классическая;44,46,48,50;2700;1.0
Юбки;Трапеция;АРТ-22;Юбка-трапеция;42,44,46,48;2600;1.0
Пальто;Демисезон;АРТ-23;Пальто демисезонное классическое;44,46,48,50;8000;1.5
Пальто;Демисезон;АРТ-24;Пальто демисезонное с поясом;44,46,48,50,52;8500;1.6
Пальто;Зимние;АРТ-25;Пальто зимнее утеплённое;44,46,48,50,52;10000;1.6
Пальто;Зимние;АРТ-26;Пальто зимнее с мехом;44,46,48,50;12000;1.8
Блузки;Шифон;АРТ-27;Блузка шифоновая на пуговицах;40,42,44,46;3500;1.35
Блузки;Шифон;АРТ-28;Блузка шифоновая с воротником;40,42,44,46;3800;1.4
Блузки;Хлопок;АРТ-29;Блузка хлопковая классическая;42,44,46,48;2800;1.1
Блузки;Хлопок;АРТ-30;Блузка хлопковая с кружевом;42,44,46,48;3200;1.2
Блузки;Шелк;АРТ-31;Блузка шёлковая классическая;42,44,46,48;4500;1.5
Блузки;Шелк;АРТ-32;Блузка шёлковая с воротником;42,44,46,48;4800;1.6
Жакеты;Классические;АРТ-33;Жакет классический приталенный;44,46,48,50;4500;1.3
Жакеты;Классические;АРТ-34;Жакет классический свободный;44,46,48,50,52;4200;1.2
Жакеты;Удлинённые;АРТ-35;Жакет удлинённый;44,46,48,50;4800;1.4
Жилеты;Классические;АРТ-36;Жилет классический;44,46,48,50;2500;1.0
Жилеты;Утеплённые;АРТ-37;Жилет утеплённый;44,46,48,50,52;3000;1.1
Топы;Хлопок;АРТ-38;Топ хлопковый классический;40,42,44,46;1800;0.9
Топы;Хлопок;АРТ-39;Топ хлопковый с кружевом;40,42,44,46;2000;1.0
Топы;Шифон;АРТ-40;Топ шифоновый;40,42,44,46;2200;1.1
Топы;Шелк;АРТ-41;Топ шёлковый;40,42,44,46;2800;1.2
Сарафаны;Летние;АРТ-42;Сарафан летний на бретелях;42,44,46,48;2500;1.0
Сарафаны;Летние;АРТ-43;Сарафан летний с карманами;42,44,46,48;2800;1.1
